,Player_Name,Player
0,"
			Hakoom
		",Hakoom
1,"
			ferryjan
		",ferryjan
2,"
			tusman
		",tusman
3,"
			Unknown_v2_0
		",Unknown_v2_0
4,"
			ikemenzi
		",ikemenzi
5,"
			Diddi89
		",Diddi89
6,"
			ViensDanser
		",ViensDanser
7,"
			MarCCeoN
		",MarCCeoN
8,"
			dav1d_123
		",dav1d_123
9,"
			Smashero
		",Smashero
10,"
			GEORaGEous
		",GEORaGEous
11,"
			skroq
		",skroq
12,"
			Alessandro54
		",Alessandro54
13,"
			xLukk
		",xLukk
14,"
			Biel_Eric
		",Biel_Eric
15,"
			maormaor13
		",maormaor13
16,"
			jigsaw84000
		",jigsaw84000
17,"
			Bizzy_Montana_
		",Bizzy_Montana_
18,"
			chris_play1
		",chris_play1
19,"
			blackangel887462
		",blackangel887462
20,"
			emet81
		",emet81
21,"
			ginko765
		",ginko765
22,"
			SUPER_STEFAN_83
		",SUPER_STEFAN_83
23,"
			The-Ricksterr
		",The-Ricksterr
24,"
			HUTCHY007
		",HUTCHY007
25,"
			Melston2010
		",Melston2010
26,"
			sanwang
		",sanwang
27,"
			LucasDiasC
		",LucasDiasC
28,"
			muhoo_doujin
		",muhoo_doujin
29,"
			maxijodi
		",maxijodi
30,"
			kusanobukenji
		",kusanobukenji
31,"
			Barriebar17
		",Barriebar17
32,"
			BrozYn88
		",BrozYn88
33,"
			PFLATSCH
		",PFLATSCH
34,"
			Schivorer
		",Schivorer
35,"
			lasthit565
		",lasthit565
36,"
			johnboy75129
		",johnboy75129
37,"
			GraefinTascha
		",GraefinTascha
38,"
			clouzing
		",clouzing
39,"
			djviktors
		",djviktors
40,"
			Lightsp33d1987
		",Lightsp33d1987
41,"
			AffectatiousDonk
		",AffectatiousDonk
42,"
			Bobasun
		",Bobasun
43,"
			Tuffinz_
		",Tuffinz_
44,"
			auber002b
		",auber002b
45,"
			midgetstrawdog
		",midgetstrawdog
46,"
			dernop
		",dernop
47,"
			JHmm1101
		",JHmm1101
48,"
			Kimrai
		",Kimrai
49,"
			GAKI
		",GAKI
50,"
			Angus1343
		",Angus1343
51,"
			Trippie1995
		",Trippie1995
52,"
			jayboo1991
		",jayboo1991
53,"
			NiTR0--X_
		",NiTR0--X_
54,"
			artjai0966
		",artjai0966
55,"
			Cactuarism
		",Cactuarism
56,"
			yoszek
		",yoszek
57,"
			TJMEAT
		",TJMEAT
58,"
			Tonat1601
		",Tonat1601
59,"
			Dino_Roar
		",Dino_Roar
60,"
			DJ-AN2011
		",DJ-AN2011
61,"
			Ballin404
		",Ballin404
62,"
			Warlord99956
		",Warlord99956
63,"
			TOV0917
		",TOV0917
64,"
			banlieue8952
		",banlieue8952
65,"
			TheScorpi0411
		",TheScorpi0411
66,"
			warhammer82_RUS
		",warhammer82_RUS
67,"
			MatrikPS
		",MatrikPS
68,"
			DerDeutscher
		",DerDeutscher
69,"
			breathofwater
		",breathofwater
70,"
			Fanatico1981
		",Fanatico1981
71,"
			PMeat
		",PMeat
72,"
			RageInYourFace34
		",RageInYourFace34
73,"
			Knightmare_1985
		",Knightmare_1985
74,"
			Ico2807
		",Ico2807
75,"
			FfredericC
		",FfredericC
76,"
			Halon_50
		",Halon_50
77,"
			ForeverNamiChris
		",ForeverNamiChris
78,"
			yoda6380
		",yoda6380
79,"
			thekhs
		",thekhs
80,"
			opiate-77
		",opiate-77
81,"
			mayuki115
		",mayuki115
82,"
			diskdocx
		",diskdocx
83,"
			GutterDragon
		",GutterDragon
